image,name,author,price,category,synopsis
https://images.pexels.com/photos/17111340/pexels-photo-17111340/free-photo-of-city-water-street-building.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Enigma Factor,Robert Johnson,18.69,Techno Thriller,"In a world driven by technology, a group of elite hackers known as ""The Enigma Factor"" is on a mission to expose government secrets and corporate conspiracies. As they navigate a dangerous underworld of cybercrime, their actions catch the attention of powerful forces determined to silence them. With their lives hanging in the balance, the hackers must stay one step ahead, using their skills to outsmart their adversaries. The Enigma Factor is a pulse-pounding techno-thriller that explores the dark side of the digital age and the power of those who control information."
https://images.pexels.com/photos/9390250/pexels-photo-9390250.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Wall and Piece,"""Banksy""",23.22,Art-Photography,
https://images.pexels.com/photos/17051872/pexels-photo-17051872/free-photo-of-sea-sunset-man-beach.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Wall and Piece,"""Banksy""",18.69,Crafts-Hobbies,
https://images.pexels.com/photos/17117466/pexels-photo-17117466.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Wall and Piece,"""Banksy""",18.69,Society-Social-Sciences,
https://images.pexels.com/photos/17041099/pexels-photo-17041099/free-photo-of-sea-beach-vacation-sand.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Wall and Piece,"""Banksy""",23.22,Society-Social-Sciences,
https://images.pexels.com/photos/17048927/pexels-photo-17048927/free-photo-of-wood-light-road-dawn.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Esquire The Handbook of Style,"""Esquire Magazine""",12.45,Home-Garden,
https://images.pexels.com/videos/9631974/dog-girl-with-dog-husky-longboard-9631974.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Building Small Projects: The New Best of Fine Woodworking,"""Fine Woodworking"" Magazine",13.65,Home-Garden,
https://images.pexels.com/photos/17061267/pexels-photo-17061267/free-photo-of-agricultura.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,"Getting Real: The Smarter, Faster, Easier Way to Build a Successful Web Application",37signals,21.76,Computing,
https://images.pexels.com/photos/16611985/pexels-photo-16611985/free-photo-of-trees.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Sketching from the Imagination: Dark Arts,3dtotal Publishing,22.92,Computing,
https://images.pexels.com/photos/17084850/pexels-photo-17084850/free-photo-of-canon.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Beginner's Guide to Digital Painting in Photoshop,3dtotal Publishing,31.06,Computing,
https://images.pexels.com/photos/12993530/pexels-photo-12993530.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Beginner's Guide to Digital Painting: Characters,3dtotal Team,30.4,Computing,
https://images.pexels.com/photos/17082890/pexels-photo-17082890/free-photo-of-eye-of-the-valley.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Digital Painting Techniques,3DTotal.com,42.14,Computing,
https://images.pexels.com/photos/15206453/pexels-photo-15206453/free-photo-of-festival-high-travel-ferris-wheel.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,"5 Seconds of Summer: Hey, Let's Make a Band!",5 Seconds of Summer,20.94,Entertainment,
https://images.pexels.com/photos/15157864/pexels-photo-15157864/free-photo-of-sand-dunes-in-desert.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The 50th Law,50 Cent,9.16,Business-Finance-Law,
https://images.pexels.com/photos/15107923/pexels-photo-15107923/free-photo-of-a-row-of-seats.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The 50th Law,50 Cent,20.5,Entertainment,
https://images.pexels.com/photos/5201536/pexels-photo-5201536.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The 50th Law,50 Cent,9.16,Personal-Development,
https://images.pexels.com/photos/16316489/pexels-photo-16316489/free-photo-of-sea-landscape-beach-vacation.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,642 Things to Write About,826 Valencia,13.27,Dictionaries-Languages,
https://images.pexels.com/photos/16772187/pexels-photo-16772187/free-photo-of-sea-dawn-sunset-beach.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,642 Things to Write About,826 Valencia,13.27,Stationery,
https://images.pexels.com/photos/16846950/pexels-photo-16846950/free-photo-of-sea-beach-water-ocean.png?auto=compress&cs=tinysrgb&dpr=1&w=500,Winnie-The-Pooh (Puffin Modern Classics),A A Milne,US$6.92,Childrens-Books,
https://images.pexels.com/photos/17018371/pexels-photo-17018371/free-photo-of-sea-landscape-sunset-beach.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Winnie Ille Pu,A A Milne,12.81,Dictionaries-Languages,
https://images.pexels.com/photos/17041074/pexels-photo-17041074/free-photo-of-black-and-white-fashion-bird-love.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Milne & Shepard : Now We are Six (Hbk),A A Milne,12.71,Graphic-Novels-Anime-Manga,
https://images.pexels.com/photos/4823347/pexels-photo-4823347.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Winnie Ille Pu,A A Milne,12.81,Humour,
https://images.pexels.com/photos/7952643/pexels-photo-7952643.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,In Sinu Jesu,A Benedictine Monk,21.02,Religion,
https://images.pexels.com/photos/16175771/pexels-photo-16175771/free-photo-of-woman-looking-at-a-flying-hot-air-balloon.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Silent Wife,A S a Harrison,9.9,Crime-Thriller,
https://images.pexels.com/photos/16113406/pexels-photo-16113406/free-photo-of-woman-sitting-on-th-e-rock.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Winnie-the-Pooh: Deep Thoughts & Ponderings for the Wise,A. A. Milne,7.28,Humour,
https://images.pexels.com/photos/16619422/pexels-photo-16619422/free-photo-of-city-fashion-people-woman.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Winnie-the-Pooh's Little Book Of Wisdom,A. A. Milne,5.77,Stationery,
https://images.pexels.com/photos/17044943/pexels-photo-17044943/free-photo-of-dia-de-futbol.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Now We are Six,A. A. Milne,6.04,Teen-Young-Adult,
https://images.pexels.com/photos/16768760/pexels-photo-16768760/free-photo-of-wood-landscape-garden-park.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Prediction Machines,A. Agrawal,22.06,Computing,
https://images.pexels.com/photos/17084703/pexels-photo-17084703.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Wittgenstein: A Very Short Introduction,A. C. Grayling,7.47,Dictionaries-Languages,
https://images.pexels.com/photos/17060507/pexels-photo-17060507/free-photo-of-sobre-rieles.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The History of Philosophy,A. C. Grayling,18.81,History-Archaeology,
https://images.pexels.com/photos/5230612/pexels-photo-5230612.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The History of Philosophy,A. C. Grayling,27.02,History-Archaeology,
