image,name,author,price,category,synopsis
https://images.pexels.com/photos/17111340/pexels-photo-17111340/free-photo-of-city-water-street-building.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Enigma Factor,Robert Johnson,18.69,Techno Thriller,"In a world driven by technology, a group of elite hackers known as ""The Enigma Factor"" is on a mission to expose government secrets and corporate conspiracies. As they navigate a dangerous underworld of cybercrime, their actions catch the attention of powerful forces determined to silence them. With their lives hanging in the balance, the hackers must stay one step ahead, using their skills to outsmart their adversaries. The Enigma Factor is a pulse-pounding techno-thriller that explores the dark side of the digital age and the power of those who control information."
https://images.pexels.com/photos/17111340/pexels-photo-17111340/free-photo-of-city-water-street-building.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Echoes of the Past,Isabella Carter,16.24,Historical Fiction,"Set against the backdrop of World War II, Echoes of the Past follows the lives of three individuals whose fates become intertwined. Sarah, a young Jewish girl hiding from the Nazis, finds solace in music and dreams of a better future. Max, a German soldier questioning his loyalty to the regime, faces a moral dilemma that could change his life forever. And Anna, a resistance fighter, risks everything to protect the ones she loves. Their paths converge in a tale of courage, sacrifice, and the enduring human spirit in the face of adversity."
https://images.pexels.com/photos/9390250/pexels-photo-9390250.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Art of Deception,Oliver Reed,12.99,Mystery/Thriller,"Master art forger Ethan Black has perfected the art of deception, crafting flawless replicas of famous paintings. But when a powerful crime syndicate discovers his talent, they force him to use his skills for their criminal activities. Caught in a web of lies and deceit, Ethan must navigate a dangerous world where trust is scarce and betrayal is inevitable. As he races against time to escape the clutches of his captors, Ethan must uncover the truth about his own past and find a way to redeem himself. The Art of Deception is a gripping thriller that explores the blurred lines between art and crime."
https://images.pexels.com/photos/17051872/pexels-photo-17051872/free-photo-of-sea-sunset-man-beach.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Forgotten Island,Julia Roberts,15.25,Adventure/Fantasy,"When a group of archaeologists embark on an expedition to a remote island, they stumble upon a hidden civilization lost to time. As they uncover ancient artifacts and decipher cryptic clues, they realize that the island holds secrets that could change the course of history. But they are not alone in their quest. A rival team of treasure hunters is hot on their trail, willing to do anything to claim the island's riches for themselves. With danger lurking at every turn, the archaeologists must race against time to unravel the mysteries of The Forgotten Island."
https://images.pexels.com/photos/17117466/pexels-photo-17117466.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,A Love Beyond Time,Emily Anderson,16.75,Paranormal Romance,"In the depths of medieval Scotland, a love story unfolds across time. Lady Isabella, a noblewoman trapped in a loveless marriage, longs for freedom and true love. When she encounters a mysterious druid who possesses the power to travel through time, their destinies become entwined. Together, they embark on a journey through centuries, facing obstacles and enemies determined to keep them apart. As their love transcends time and space, they discover the true meaning of sacrifice and the enduring power of love."
https://images.pexels.com/photos/17041099/pexels-photo-17041099/free-photo-of-sea-beach-vacation-sand.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Final Revelation,Mark Sullivan,16.99,Action/Adventure,"In the heart of the Amazon rainforest, a team of explorers stumbles upon an ancient civilization that holds the key to a world-altering secret. As they unravel the clues left behind by an enigmatic ancient society, they must confront their own fears and overcome treacherous obstacles. The journey takes them deep into uncharted territory, where they encounter deadly traps, fierce adversaries, and the ultimate test of their resolve. The Final Revelation is an adrenaline-fueled adventure that explores the thin line between myth and reality and the power of discovery."
https://images.pexels.com/photos/17048927/pexels-photo-17048927/free-photo-of-wood-light-road-dawn.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Last Resort,Jessica Collins,19.99,Psychological Thriller,"A group of strangers gathers at a secluded luxury resort for a weekend getaway. But what starts as a relaxing retreat quickly turns into a nightmare as they realize they are being manipulated and their darkest secrets are being exposed. Trapped on the island with no way out, the guests must confront their pasts and face the consequences of their actions. As tensions rise and trust dissolves, the line between reality and illusion blurs, leaving them questioning their own sanity. The Last Resort is a mind-bending psychological thriller that will keep you guessing until the shocking conclusion."
https://images.pexels.com/videos/9631974/dog-girl-with-dog-husky-longboard-9631974.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Alchemist's Legacy,David Turner,24.99,Fantasy/Adventure,"In a world where alchemy is both revered and feared, young alchemist Marcus embarks on a quest to unlock the secrets of the legendary Philosopher's Stone. With his trusted companions by his side, Marcus faces dangerous creatures, treacherous landscapes, and powerful adversaries. Along the way, he discovers the true nature of alchemy and the sacrifices required to harness its power. The Alchemist's Legacy is a captivating tale of magic, friendship, and the pursuit of eternal wisdom."
https://images.pexels.com/photos/17061267/pexels-photo-17061267/free-photo-of-agricultura.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Broken Promise,Stephanie Roberts,9.99,Romantic Suspense,"When journalist Emma Sullivan receives an anonymous tip about a scandal that could rock the political world, she dives deep into a web of conspiracy and intrigue. As she gets closer to the truth, her life is put in danger, and she must rely on an enigmatic stranger for protection. Together, they unravel a sinister plot that reaches the highest levels of power. Amidst the chaos, Emma and her mysterious ally find solace in each other, forging a bond that transcends the boundaries of danger. The Broken Promise is a gripping romantic suspense novel that will keep you on the edge of your seat."
https://images.pexels.com/photos/16611985/pexels-photo-16611985/free-photo-of-trees.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Chosen Ones,Lucas Mitchell,8.75,"Science Fiction/DystopianIn a dystopian future where society is divided into factions, a group of young rebels known as ""The Chosen Ones"" rise up against a tyrannical regime. Gifted with extraordinary abilities, they must harness their powers and unite to overthrow the oppressive government. But as they fight for freedom, they uncover dark secrets and betrayals that threaten to tear them apart. The Chosen Ones is a thrilling sci-fi dystopian novel that explores the power of unity, resilience, and the fight for a better world.","In a dystopian future where society is divided into factions, a group of young rebels known as ""The Chosen Ones"" rise up against a tyrannical regime. Gifted with extraordinary abilities, they must harness their powers and unite to overthrow the oppressive government. But as they fight for freedom, they uncover dark secrets and betrayals that threaten to tear them apart. The Chosen Ones is a thrilling sci-fi dystopian novel that explores the power of unity, resilience, and the fight for a better world."
